code,title,status,edition,size_mm,medium,price_zar
20241101_1,Toe,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20241101_2,Elbow,Sold,1/1,420 × 420,Pigment print on archival rag,3333.33
20241101_3,Hand,Sold,1/1,420 × 420,Pigment print on archival rag,3333.33
20231201_3,Dancer,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20231203_III,iHubmyOfferTheCandleThatIsn’tThere,Sold,1/1,420 × 420,Pigment print on archival rag,3333.33
20241005_1,Embrace,Sold,1/1,420 × 420,Pigment print on archival rag,3333.33
20240810_1,Entangled Calm,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20231110_1,Convergent Forms,Sold,1/1,420 × 420,Pigment print on archival rag,3333.33
20240505_2,Ritual,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20240922_1,Shelter,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20241103_1,Pulse,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20240907_01,Untitled,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20241117_2,Veil of Folds,Sold,1/1,420 × 420,Pigment print on archival rag,3333.33
20240113-20240922_2,Ember’s Drift,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20241116_2,Fullness,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20240712_20250118_1,Bending Diamonds,Available,1/1,420 × 420,Pigment print on archival rag,3333.33
20250310,bodyTime(),Sold,1/1,420 × 420,32-exposure pigment print on archival rag,3333.33
